Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
O-Games,0.44,0.54,0.0,0.12,1.08
O3 Entertainment,0.19,0.02,0.0,0.01,0.22
Ocean,2.06,1.0,0.42,0.11,3.61
Office Create,0.0,0.0,0.06,0.0,0.06
On Demand,0.12,0.08,0.0,0.01,0.21
Ongakukan,0.0,0.0,0.01,0.0,0.01
Origin Systems,0.05,0.03,0.0,0.01,0.09
Otomate,0.0,0.0,0.01,0.0,0.01
Oxygen Interactive,2.01,1.04,0.0,0.36,3.46
P2 Games,0.02,0.33,0.0,0.04,0.4
PM Studios,0.09,0.0,0.0,0.01,0.1
PQube,1.91,0.92,1.05,0.4,4.27
Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26
Pack In Soft,0.25,0.06,0.11,0.06,0.48
Pack-In-Video,0.0,0.0,0.11,0.0,0.11
Palcom,3.38,0.44,0.31,0.04,4.17
Panther Software,0.02,0.02,0.12,0.01,0.17
Paon,0.0,0.0,0.25,0.0,0.25
Paon Corporation,0.0,0.0,0.03,0.0,0.03
Paradox Development,0.0,0.01,0.0,0.0,0.01
Paradox Interactive,0.05,0.57,0.0,0.08,0.76
Parker Bros.,4.65,0.27,0.0,0.05,4.97
Performance Designed Products,0.34,0.0,0.0,0.02,0.36
Phantagram,0.03,0.01,0.01,0.0,0.05
Phantom EFX,0.09,0.0,0.0,0.01,0.09
Phenomedia,0.16,0.0,0.0,0.0,0.19
Phoenix Games,0.02,0.0,0.0,0.0,0.02
Piacci,0.0,0.0,0.01,0.0,0.01
Pinnacle,0.0,1.32,0.0,0.1,1.42
Pioneer LDC,0.23,0.16,0.32,0.04,0.74
Play It,2.53,1.23,0.0,0.55,4.31
PlayV,0.1,0.3,0.0,0.05,0.44
Playlogic Game Factory,0.94,0.16,0.0,0.11,1.2
Playmates,0.16,0.11,0.0,0.02,0.28
Playmore,0.0,0.0,0.04,0.0,0.04
Plenty,0.0,0.0,0.02,0.0,0.02
Pony Canyon,0.03,0.02,0.0,0.0,0.05
PopCap Games,1.1,0.34,0.0,0.12,1.57
PopTop Software,0.06,0.04,0.0,0.01,0.11
Popcorn Arcade,0.45,0.0,0.0,0.01,0.49
Pow,0.0,0.0,0.05,0.0,0.05
Princess Soft,0.0,0.0,0.07,0.0,0.07
Prototype,0.0,0.0,0.61,0.0,0.61
Psygnosis,3.63,2.48,0.72,0.45,7.27
Quelle,0.81,0.05,0.0,0.01,0.87
Quest,0.0,0.0,0.71,0.0,0.71
Quinrose,0.0,0.0,0.22,0.0,0.22
Quintet,0.0,0.0,0.02,0.0,0.02
RED Entertainment,0.0,0.0,0.02,0.0,0.02
RTL,0.83,0.98,0.0,0.2,2.0
Rage Software,0.81,0.47,0.0,0.13,1.42
Rain Games,0.0,0.01,0.0,0.0,0.01
Rebellion,0.35,0.13,0.0,0.01,0.49
Rebellion Developments,0.08,0.17,0.0,0.04,0.3
Red Orb,1.54,3.61,0.0,0.1,5.24
Red Storm Entertainment,1.43,0.8,0.0,0.09,2.32
RedOctane,6.44,1.31,0.03,0.91,8.68
Reef Entertainment,0.17,0.13,0.0,0.03,0.34
Revolution (Japan),0.0,0.0,0.02,0.0,0.02
Revolution Software,0.0,0.07,0.0,0.01,0.07
Rising Star Games,10.5,2.98,2.53,1.22,17.31
Riverhillsoft,0.0,0.0,0.04,0.0,0.04
Rocket Company,0.0,0.0,1.82,0.0,1.82
